,company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
217,Thoucentric,NLP Data Scientist,4.1,Bengaluru,875186.0,201 to 500 Employees,2015,Private,Business Consulting,Management & Consulting,3.8,3.5,4.5,4.1,4.0
218,UBS,Reporting & Metrics Data Analyst,3.9,Pune,806241.0,10000+ Employees,1862,Public,Investment & Asset Management,Finance,3.6,3.5,3.9,3.5,3.8
219,StockX,Data Engineer,3.6,Bengaluru,364505.0,1001 to 5000 Employees,2016,Private,Internet & Web Services,Information Technology,3.3,3.6,3.6,3.1,3.4
220,S&P Global,Carbon Markets Data Analyst,4.1,Gurgaon,578496.0,10000+ Employees,1860,Public,Research & Development,Management & Consulting,3.8,3.8,4.2,3.8,4.2
221,Innovaccer,Apprentice - Data Engineer,3.4,Noida,949526.0,1001 to 5000 Employees,2014,Private,Healthcare Services & Hospitals,Healthcare,3.6,3.6,3.4,3.2,3.1
222,PineBridge Investments,Data Scientist /Quantitative Equity Researcher_2,3.8,Mumbai,987787.0,501 to 1000 Employees,2010,Private,Investment & Asset Management,Finance,3.7,3.2,3.8,3.8,4.3
223,Tata Technologies,ALM Users - Data Mining,3.8,Bengaluru,789523.0,10000+ Employees,1989,Private,Research & Development,Management & Consulting,3.6,3.4,3.8,3.4,3.8
224,S&P Global,Data Transformation Analyst I,4.1,Gurgaon,578496.0,10000+ Employees,1860,Public,Research & Development,Management & Consulting,3.8,3.8,4.2,3.8,4.2
225,UST,Associate II - Data Science,4.0,Bengaluru,425000.0,10000+ Employees,1999,Private,Information Technology Support Services,Information Technology,3.8,3.5,4.0,3.7,4.0
226,Wesco,India-Bangalore: Data Scientist,3.7,Bengaluru,698711.0,10000+ Employees,1922,Public,Wholesale,Retail & Wholesale,3.5,3.4,3.6,3.3,3.8
227,Microsoft,Data Engineer II,4.2,Noida,828415.0,10000+ Employees,1975,Public,Computer Hardware Development,Information Technology,4.0,4.1,4.2,3.8,4.1
228,Epsilon,Data Scientist 2,4.2,Bengaluru,987421.0,5001 to 10000 Employees,1969,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,3.9,3.8,4.2,3.8,4.1
229,Tata Consultancy Services,GCP Data Engineer,3.8,Hyderābād,516307.0,10000+ Employees,1968,Public,Software Development,Information Technology,3.7,3.1,3.9,3.3,3.8
230,TechnoServe Inc.,Data Analyst Associate - PMA,4.1,Mumbai,522673.0,51 to 200 Employees,--,Private,Grantmaking & Charitable Foundations,Non-profit & NGO,4.1,3.6,4.3,4.1,4.0
231,Magna International Inc.,Data Scientist,3.8,Bengaluru,810555.0,10000+ Employees,1957,Public,Transportation Equipment Manufacturing,Manufacturing,3.7,3.7,3.5,3.3,3.2
232,Enel,Data Management Analyst - Night Shift,4.0,Mumbai,259037.0,10000+ Employees,1962,Private,Energy & Utilities,"Energy, Mining, Utilities",3.4,3.7,3.9,3.4,3.8
233,Retransform,Data Scientist,4.1,Mumbai,144000.0,201 to 500 Employees,1998,Private,Business Consulting,Management & Consulting,4.0,3.4,4.0,4.1,4.0
234,MRI Software,Data Analyst (Database Management),3.6,Bengaluru,583095.0,1001 to 5000 Employees,1971,Private,Computer Hardware Development,Information Technology,3.6,3.4,3.8,3.4,3.9
235,Blue Yonder,"Data Engineer (Python, SQL, Query Optimization, DBMS)",4.1,Bengaluru,742170.0,5001 to 10000 Employees,1985,Private,Enterprise Software & Network Solutions,Information Technology,3.9,3.9,4.2,3.7,4.0
236,Aptus Data LAbs,Data Scientist,4.1,Bengaluru,820000.0,51 to 200 Employees,2014,Private,Information Technology Support Services,Information Technology,4.1,3.8,3.8,3.8,4.2
237,Facile Services,Data Research Trainee,3.9,Pune,327977.0,201 to 500 Employees,--,Private,--,--,3.8,3.6,3.7,3.5,3.5
238,Tax Genie,Data Analyst(BI),3.3,Mumbai,220661.0,51 to 200 Employees,2017,Private,Information Technology Support Services,Information Technology,3.9,3.4,3.9,3.7,3.7
239,Yamaha Motor Solutions India Pvt.Ltd.,Data Scientist,4.1,Farīdābād,526300.0,1001 to 5000 Employees,1955,Public,Transportation Equipment Manufacturing,Manufacturing,3.7,3.9,3.9,3.6,3.6
240,ADCI - Haryana,"Data Associate I (Italian), ML Data Ops",3.7,Gurgaon,314223.0,10000+ Employees,1994,Public,Internet & Web Services,Information Technology,3.7,3.8,3.6,3.3,3.2
241,FrugalTesting,Data Entry Operator,4.8,Hyderābād,185903.0,51 to 200 Employees,2016,Private,Information Technology Support Services,Information Technology,4.8,4.6,4.8,4.8,4.7
242,Rishi FIBC Solutions,Data Analysis,3.1,Vadodara,497861.0,501 to 1000 Employees,--,Private,--,--,3.1,2.8,2.9,3.1,2.8
243,Linxon,Data Analyst - HSE,4.3,Chennai,387298.0,501 to 1000 Employees,--,Public,--,--,4.2,4.1,4.0,4.1,3.9
244,DataEconomy,Data Scientist,4.7,Hyderābād,572423.0,201 to 500 Employees,2018,Private,Information Technology Support Services,Information Technology,4.7,3.9,4.5,4.7,3.9
245,United Airlines,Analyst - Data Scientist,3.9,Gurgaon,110000.0,10000+ Employees,1926,Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,3.9,3.8,3.6,3.2,3.4
246,EIE Instruments,Data Analyst,3.9,Ahmedabad,17500.0,51 to 200 Employees,--,Private,Machinery Manufacturing,Manufacturing,3.2,3.9,3.3,3.2,3.8
247,Maruti Suzuki India Ltd,Data Analyst - R&D,3.9,Bengaluru,824049.0,10000+ Employees,--,Public,Transportation Equipment Manufacturing,Manufacturing,3.7,4.0,3.4,3.3,3.1
